Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2010","2010","kg","4.92","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2013","2013","kg","5.94","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2017","2017","kg","5.07","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2021","2021","kg","3.53","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","2010","2010","kg","7.44","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","2013","2013","kg","7.66","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","2017","2017","kg","7.96","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","2021","2021","kg","8.18","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2733","Pigmeat","2010","2010","kg","0","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2733","Pigmeat","2013","2013","kg","0","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2733","Pigmeat","2017","2017","kg","0","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2733","Pigmeat","2021","2021","kg","0.01","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","2010","2010","kg","7.31","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","2013","2013","kg","7.46","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","2017","2017","kg","6.95","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","2021","2021","kg","5.84","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2735","Meat, Other","2010","2010","kg","0.36","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2735","Meat, Other","2013","2013","kg","0.37","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2735","Meat, Other","2017","2017","kg","0.36","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2735","Meat, Other","2021","2021","kg","0.35","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2736","Offals, Edible","2010","2010","kg","1.27","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2736","Offals, Edible","2013","2013","kg","1.51","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2736","Offals, Edible","2017","2017","kg","1.62","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2736","Offals, Edible","2021","2021","kg","1.48","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2740","Butter, Ghee","2010","2010","kg","0.57","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2740","Butter, Ghee","2013","2013","kg","0.55","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2740","Butter, Ghee","2017","2017","kg","0.35","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2740","Butter, Ghee","2021","2021","kg","0.32","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2743","Cream","2021","2021","kg","0","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2737","Fats, Animals, Raw","2010","2010","kg","0.3","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2737","Fats, Animals, Raw","2013","2013","kg","0.25","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2737","Fats, Animals, Raw","2017","2017","kg","0.27","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2737","Fats, Animals, Raw","2021","2021","kg","1.29","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2744","Eggs","2010","2010","kg","6.57","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2744","Eggs","2013","2013","kg","8.26","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2744","Eggs","2017","2017","kg","7.21","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2744","Eggs","2021","2021","kg","6.26","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2848","Milk - Excluding Butter","2010","2010","kg","146.53","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2848","Milk - Excluding Butter","2013","2013","kg","162.8","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2848","Milk - Excluding Butter","2017","2017","kg","159.49","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2848","Milk - Excluding Butter","2021","2021","kg","148.15","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2761","Freshwater Fish","2010","2010","kg","0.05","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2761","Freshwater Fish","2013","2013","kg","0.54","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2761","Freshwater Fish","2017","2017","kg","0.17","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2761","Freshwater Fish","2021","2021","kg","0.18","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2762","Demersal Fish","2010","2010","kg","0.38","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2762","Demersal Fish","2013","2013","kg","0.47","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2762","Demersal Fish","2017","2017","kg","0.4","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2762","Demersal Fish","2021","2021","kg","0.31","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2763","Pelagic Fish","2010","2010","kg","3","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2763","Pelagic Fish","2013","2013","kg","2.56","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2763","Pelagic Fish","2017","2017","kg","2.92","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2763","Pelagic Fish","2021","2021","kg","2.79","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2764","Marine Fish, Other","2010","2010","kg","0.39","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2764","Marine Fish, Other","2013","2013","kg","0.46","E","Estimated value"
